company,name-origin,ref,review,cacao,location,rating,bean,bean-origin,pur,res
A. Morin,Agua Grande,1876,2016,63%,France,3.75, ,Sao Tome,INTERMEDIO,A. Morin&INTERMEDIO&3.75&France
A. Morin,Kpime,1676,2015,70%,France,2.75, ,Togo,INTERMEDIO,A. Morin&INTERMEDIO&2.75&France
A. Morin,Atsane,1676,2015,70%,France,3.0, ,Togo,INTERMEDIO,A. Morin&INTERMEDIO&3.0&France
A. Morin,Akata,1680,2015,70%,France,3.5, ,Togo,INTERMEDIO,A. Morin&INTERMEDIO&3.5&France
A. Morin,Quilla,1704,2015,70%,France,3.5, ,Peru,INTERMEDIO,A. Morin&INTERMEDIO&3.5&France
A. Morin,Carenero,1315,2014,70%,France,2.75,Criollo,Venezuela,INTERMEDIO,A. Morin&INTERMEDIO&2.75&France
A. Morin,Cuba,1315,2014,70%,France,3.5, ,Cuba,INTERMEDIO,A. Morin&INTERMEDIO&3.5&France
A. Morin,Sur del Lago,1315,2014,70%,France,3.5,Criollo,Venezuela,INTERMEDIO,A. Morin&INTERMEDIO&3.5&France
A. Morin,Puerto Cabello,1319,2014,70%,France,3.75,Criollo,Venezuela,INTERMEDIO,A. Morin&INTERMEDIO&3.75&France
A. Morin,Pablino,1319,2014,70%,France,4.0, ,Peru,INTERMEDIO,A. Morin&INTERMEDIO&4.0&France
A. Morin,Panama,1011,2013,70%,France,2.75, ,Panama,INTERMEDIO,A. Morin&INTERMEDIO&2.75&France
A. Morin,Madagascar,1011,2013,70%,France,3.0,Criollo,Madagascar,INTERMEDIO,A. Morin&INTERMEDIO&3.0&France
A. Morin,Brazil,1011,2013,70%,France,3.25, ,Brazil,INTERMEDIO,A. Morin&INTERMEDIO&3.25&France
A. Morin,Equateur,1011,2013,70%,France,3.75, ,Ecuador,INTERMEDIO,A. Morin&INTERMEDIO&3.75&France
A. Morin,Colombie,1015,2013,70%,France,2.75, ,Colombia,INTERMEDIO,A. Morin&INTERMEDIO&2.75&France
A. Morin,Birmanie,1015,2013,70%,France,3.0, ,Burma,INTERMEDIO,A. Morin&INTERMEDIO&3.0&France
A. Morin,Papua New Guinea,1015,2013,70%,France,3.25, ,Papua New Guinea,INTERMEDIO,A. Morin&INTERMEDIO&3.25&France
A. Morin,Chuao,1015,2013,70%,France,4.0,Trinitario,Venezuela,INTERMEDIO,A. Morin&INTERMEDIO&4.0&France
A. Morin,Piura,1019,2013,70%,France,3.25, ,Peru,INTERMEDIO,A. Morin&INTERMEDIO&3.25&France
A. Morin,Chanchamayo Province,1019,2013,70%,France,3.5, ,Peru,INTERMEDIO,A. Morin&INTERMEDIO&3.5&France
